;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 12/30/2020 7:43:18 PM
;----------------------------------------------

;Address Opcode 	ASM
0x03E7	0x2BD2      	GOTO       L_Lcd_Chr7
0x03E8	0x0867      	MOVF       FARG_Lcd_Chr_row, 0
0x03E9	0x3A03      	XORLW      3
0x03EA	0x1903      	BTFSC      STATUS, 2
0x03EB	0x2BD5      	GOTO       L_Lcd_Chr8
0x03EC	0x0867      	MOVF       FARG_Lcd_Chr_row, 0
0x03ED	0x3A04      	XORLW      4
0x03EE	0x1903      	BTFSC      STATUS, 2
0x03EF	0x2BD8      	GOTO       L_Lcd_Chr9
0x03F0	0x2BDB      	GOTO       L_Lcd_Chr10
L_Lcd_Chr5:
;__Lib_Lcd.c,74 :: 		
0x03F1	0x0368      	DECF       FARG_Lcd_Chr_column, 0
0x03F2	0x00F0      	MOVWF      R0
0x03F3	0x0867      	MOVF       FARG_Lcd_Chr_row, 0
0x03F4	0x07F0      	ADDWF      R0, 1
0x03F5	0x0870      	MOVF       R0, 0
0x03F6	0x00E7      	MOVWF      FARG_Lcd_Chr_row
;__Lib_Lcd.c,76 :: 		
0x03F7	0x1465      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,77 :: 		
0x03F8	0x0870      	MOVF       R0, 0
0x03F9	0x00EC      	MOVWF      FARG_Lcd_Cmd_out_char
0x03FA	0x20F7      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,79 :: 		
0x03FB	0x1065      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,80 :: 		
0x03FC	0x0869      	MOVF       FARG_Lcd_Chr_out_char, 0
0x03FD	0x00EC      	MOVWF      FARG_Lcd_Cmd_out_char
0x03FE	0x20F7      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,81 :: 		
0x03FF	0x1465      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,82 :: 		
L_end_Lcd_Chr:
0x0400	0x0008      	RETURN
; end of _Lcd_Chr
_Div_16x16_S:
;__Lib_Math.c,480 :: 		
;__Lib_Math.c,488 :: 		
0x0401	0x1283      	BCF        STATUS, 5
0x0402	0x1303      	BCF        STATUS, 6
0x0403	0x0874      	MOVF       R4, 0
0x0404	0x3A00      	XORLW      0
0x0405	0x1D03      	BTFSS      STATUS, 2
0x0406	0x2C10      	GOTO       L_Div_16x16_S0
;__Lib_Math.c,489 :: 		
0x0407	0x0875      	MOVF       R5, 0
0x0408	0x3A00      	XORLW      0
0x0409	0x1D03      	BTFSS      STATUS, 2
0x040A	0x2C10      	GOTO       L_Div_16x16_S1
;__Lib_Math.c,490 :: 		
0x040B	0x30FF      	MOVLW      255
0x040C	0x00F0      	MOVWF      R0
;__Lib_Math.c,491 :: 		
0x040D	0x307F      	MOVLW      127
0x040E	0x00F1      	MOVWF      R1
;__Lib_Math.c,492 :: 		
0x040F	0x2C69      	GOTO       L_end_Div_16x16_S
;__Lib_Math.c,493 :: 		
L_Div_16x16_S1:
L_Div_16x16_S0:
;__Lib_Math.c,496 :: 		
0x0410	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,497 :: 		
0x0411	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,498 :: 		
0x0412	0x01FD      	CLRF       R13
;__Lib_Math.c,499 :: 		
0x0413	0x01F9      	CLRF       R9
;__Lib_Math.c,500 :: 		
0x0414	0x01F8      	CLRF       R8
;__Lib_Math.c,501 :: 		
0x0415	0x0871      	MOVF       R1, 0
;__Lib_Math.c,502 :: 		
0x0416	0x0470      	IORWF      R0, 0
;__Lib_Math.c,503 :: 		
0x0417	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,504 :: 		
0x0418	0x3400      	RETLW      0
;__Lib_Math.c,506 :: 		
0x0419	0x0871      	MOVF       R1, 0
;__Lib_Math.c,507 :: 		
0x041A	0x0675      	XORWF      R5, 0
;__Lib_Math.c,508 :: 		
0x041B	0x00FA      	MOVWF      R10
;__Lib_Math.c,509 :: 		
0x041C	0x1BFA      	BTFSC      R10, 7
;__Lib_Math.c,510 :: 		
0x041D	0x09FD      	COMF       R13, 1
;__Lib_Math.c,512 :: 		
0x041E	0x01FB      	CLRF       R11
;__Lib_Math.c,514 :: 		
0x041F	0x1FF5      	BTFSS      R5, 7
;__Lib_Math.c,515 :: 		
0x0420	0x2C26      	GOTO       $+6
;__Lib_Math.c,517 :: 		
0x0421	0x09F4      	COMF       R4, 1
;__Lib_Math.c,518 :: 		
0x0422	0x09F5      	COMF       R5, 1
;__Lib_Math.c,519 :: 		
0x0423	0x0AF4      	INCF       R4, 1
;__Lib_Math.c,520 :: 		
0x0424	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,521 :: 		
0x0425	0x0AF5      	INCF       R5, 1
;__Lib_Math.c,523 :: 		
0x0426	0x1FF1      	BTFSS      R1, 7
;__Lib_Math.c,524 :: 		
0x0427	0x2C2D      	GOTO       $+6
;__Lib_Math.c,526 :: 		
0x0428	0x09F0      	COMF       R0, 1
;__Lib_Math.c,527 :: 		
0x0429	0x09F1      	COMF       R1, 1
;__Lib_Math.c,528 :: 		
0x042A	0x0AF0      	INCF       R0, 1
;__Lib_Math.c,529 :: 		
0x042B	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,530 :: 		
0x042C	0x0AF1      	INCF       R1, 1
;__Lib_Math.c,532 :: 		
0x042D	0x0871      	MOVF       R1, 0
;__Lib_Math.c,533 :: 		
0x042E	0x0475      	IORWF      R5, 0
;__Lib_Math.c,534 :: 		
0x042F	0x00FA      	MOVWF      R10
;__Lib_Math.c,535 :: 		
0x0430	0x1BFA      	BTFSC      R10, 7
;__Lib_Math.c,536 :: 		
0x0431	0x2C42      	GOTO       $+17
;__Lib_Math.c,538 :: 		
0x0432	0x2146      	CALL       _Div_16x16_S_L
;__Lib_Math.c,540 :: 		
0x0433	0x187B      	BTFSC      R11, 0
;__Lib_Math.c,541 :: 		
0x0434	0x2C55      	GOTO       $+33
;__Lib_Math.c,543 :: 		
0x0435	0x1FFD      	BTFSS      R13, 7
;__Lib_Math.c,544 :: 		
0x0436	0x3400      	RETLW      0
;__Lib_Math.c,546 :: 		
0x0437	0x09F0      	COMF       R0, 1
;__Lib_Math.c,547 :: 		
0x0438	0x09F1      	COMF       R1, 1
;__Lib_Math.c,548 :: 		
0x0439	0x0AF0      	INCF       R0, 1
;__Lib_Math.c,549 :: 		
0x043A	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,550 :: 		
0x043B	0x0AF1      	INCF       R1, 1
;__Lib_Math.c,552 :: 		
0x043C	0x09F8      	COMF       R8, 1
;__Lib_Math.c,553 :: 		
0x043D	0x09F9      	COMF       R9, 1
;__Lib_Math.c,554 :: 		
0x043E	0x0AF8      	INCF       R8, 1
;__Lib_Math.c,555 :: 		
0x043F	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,556 :: 		
0x0440	0x0AF9      	INCF       R9, 1
;__Lib_Math.c,558 :: 		
0x0441	0x3400      	RETLW      0
;__Lib_Math.c,560 :: 		
0x0442	0x1FF5      	BTFSS      R5, 7
;__Lib_Math.c,561 :: 		
0x0443	0x2C51      	GOTO       $+14
;__Lib_Math.c,562 :: 		
0x0444	0x1BF1      	BTFSC      R1, 7
;__Lib_Math.c,563 :: 		
0x0445	0x2C4D      	GOTO       $+8
;__Lib_Math.c,564 :: 		
0x0446	0x0871      	MOVF       R1, 0
;__Lib_Math.c,565 :: 		
0x0447	0x00F9      	MOVWF      R9
;__Lib_Math.c,566 :: 		
0x0448	0x0870      	MOVF       R0, 0
;__Lib_Math.c,567 :: 		
0x0449	0x00F8      	MOVWF      R8
;__Lib_Math.c,568 :: 		
0x044A	0x01F1      	CLRF       R1
;__Lib_Math.c,569 :: 		
0x044B	0x01F0      	CLRF       R0
;__Lib_Math.c,570 :: 		
0x044C	0x2C35      	GOTO       $-23
;__Lib_Math.c,571 :: 		
0x044D	0x01F1      	CLRF       R1
;__Lib_Math.c,572 :: 		
0x044E	0x01F0      	CLRF       R0
;__Lib_Math.c,573 :: 		
0x044F	0x0AF0      	INCF       R0, 1
;__Lib_Math.c,574 :: 		
0x0450	0x3400      	RETLW      0
;__Lib_Math.c,576 :: 		
0x0451	0x09F1      	COMF       R1, 1
;__Lib_Math.c,577 :: 		
0x0452	0x09F0      	COMF       R0, 1
;__Lib_Math.c,578 :: 		
0x0453	0x0AFB      	INCF       R11, 1
;__Lib_Math.c,579 :: 		
0x0454	0x2C32      	GOTO       $-34
;__Lib_Math.c,581 :: 		
0x0455	0x0AF8      	INCF       R8, 1
;__Lib_Math.c,582 :: 		
0x0456	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,583 :: 		
0x0457	0x0AF9      	INCF       R9, 1
;__Lib_Math.c,584 :: 		
0x0458	0x0874      	MOVF       R4, 0
;__Lib_Math.c,585 :: 		
0x0459	0x0278      	SUBWF      R8, 0
;__Lib_Math.c,586 :: 		
0x045A	0x1D03      	BTFSS      STATUS, 2
;__Lib_Math.c,587 :: 		
0x045B	0x2C35      	GOTO       $-38
;__Lib_Math.c,588 :: 		
0x045C	0x0875      	MOVF       R5, 0
;__Lib_Math.c,589 :: 		
0x045D	0x0279      	SUBWF      R9, 0
;__Lib_Math.c,590 :: 		
0x045E	0x1D03      	BTFSS      STATUS, 2
;__Lib_Math.c,591 :: 		
0x045F	0x2C35      	GOTO       $-42
;__Lib_Math.c,592 :: 		
0x0460	0x01F9      	CLRF       R9
;__Lib_Math.c,593 :: 		
0x0461	0x01F8      	CLRF       R8
;__Lib_Math.c,594 :: 		
0x0462	0x0AF0      	INCF       R0, 1
;__Lib_Math.c,595 :: 		
0x0463	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,596 :: 		
0x0464	0x0AF1      	INCF       R1, 1
;__Lib_Math.c,597 :: 		
0x0465	0x1FF1      	BTFSS      R1, 7
;__Lib_Math.c,598 :: 		
0x0466	0x2C35      	GOTO       $-49
;__Lib_Math.c,599 :: 		
0x0467	0x0000      	NOP
;__Lib_Math.c,600 :: 		
0x0468	0x34FF      	RETLW      255
;__Lib_Math.c,602 :: 		
L_end_Div_16x16_S:
0x0469	0x0008      	RETURN
; end of _Div_16x16_S
_Lcd_Init:
;__Lib_Lcd.c,84 :: 		
;__Lib_Lcd.c,86 :: 		
0x046A	0x1683      	BSF        STATUS, 5
0x046B	0x1303      	BCF        STATUS, 6
0x046C	0x1107      	BCF        LCD_EN_Direction, BitPos(LCD_EN_Direction+0)
;__Lib_Lcd.c,87 :: 		
0x046D	0x1087      	BCF        LCD_RS_Direction, BitPos(LCD_RS_Direction+0)
;__Lib_Lcd.c,88 :: 		
0x046E	0x1187      	BCF        LCD_D4_Direction, BitPos(LCD_D4_Direction+0)
;__Lib_Lcd.c,89 :: 		
0x046F	0x1207      	BCF        LCD_D5_Direction, BitPos(LCD_D5_Direction+0)
;__Lib_Lcd.c,90 :: 		
0x0470	0x1287      	BCF        LCD_D6_Direction, BitPos(LCD_D6_Direction+0)
;__Lib_Lcd.c,91 :: 		
0x0471	0x1307      	BCF        LCD_D7_Direction, BitPos(LCD_D7_Direction+0)
;__Lib_Lcd.c,93 :: 		
0x0472	0x1283      	BCF        STATUS, 5
0x0473	0x1107      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,94 :: 		
0x0474	0x1087      	BCF        LCD_RS, BitPos(LCD_RS+0)
;__Lib_Lcd.c,95 :: 		
0x0475	0x1307      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,96 :: 		
0x0476	0x1287      	BCF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,97 :: 		
0x0477	0x1207      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,98 :: 		
0x0478	0x1187      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,100 :: 		
0x0479	0x20D3      	CALL       _Delay_5500us
;__Lib_Lcd.c,101 :: 		
0x047A	0x20D3      	CALL       _Delay_5500us
;__Lib_Lcd.c,102 :: 		
0x047B	0x20D3      	CALL       _Delay_5500us
;__Lib_Lcd.c,105 :: 		
0x047C	0x1607      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,106 :: 		
0x047D	0x1587      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,107 :: 		
0x047E	0x1507      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,108 :: 		
0x047F	0x20C9      	CALL       _Delay_1us
;__Lib_Lcd.c,109 :: 		
0x0480	0x1107      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,110 :: 		
0x0481	0x20D3      	CALL       _Delay_5500us
;__Lib_Lcd.c,112 :: 		
0x0482	0x1507      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,113 :: 		
0x0483	0x20C9      	CALL       _Delay_1us
;__Lib_Lcd.c,114 :: 		
0x0484	0x1107      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,115 :: 		
0x0485	0x20D3      	CALL       _Delay_5500us
;__Lib_Lcd.c,117 :: 		
0x0486	0x1507      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,118 :: 		
0x0487	0x20C9      	CALL       _Delay_1us
;__Lib_Lcd.c,119 :: 		
0x0488	0x1107      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,120 :: 		
0x0489	0x20D3      	CALL       _Delay_5500us
;__Lib_Lcd.c,123 :: 		
0x048A	0x1187      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,124 :: 		
0x048B	0x1507      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,125 :: 		
0x048C	0x20C9      	CALL       _Delay_1us
;__Lib_Lcd.c,126 :: 		
0x048D	0x1107      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,127 :: 		
0x048E	0x20D3      	CALL       _Delay_5500us
;__Lib_Lcd.c,130 :: 		
0x048F	0x1507      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,131 :: 		
0x0490	0x20C9      	CALL       _Delay_1us
;__Lib_Lcd.c,132 :: 		
0x0491	0x1107      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,134 :: 		
0x0492	0x1207      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,135 :: 		
0x0493	0x1707      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,136 :: 		
0x0494	0x1507      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,137 :: 		
0x0495	0x20C9      	CALL       _Delay_1us
;__Lib_Lcd.c,138 :: 		
0x0496	0x1107      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,139 :: 		
0x0497	0x20D3      	CALL       _Delay_5500us
;__Lib_Lcd.c,142 :: 		
0x0498	0x1307      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,143 :: 		
0x0499	0x1587      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,144 :: 		
0x049A	0x1507      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,145 :: 		
0x049B	0x20C9      	CALL       _Delay_1us
;__Lib_Lcd.c,146 :: 		
0x049C	0x1107      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,148 :: 		
0x049D	0x1187      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,149 :: 		
0x049E	0x1507      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,150 :: 		
0x049F	0x20C9      	CALL       _Delay_1us
;__Lib_Lcd.c,151 :: 		
0x04A0	0x1107      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,152 :: 		
0x04A1	0x20D3      	CALL       _Delay_5500us
;__Lib_Lcd.c,155 :: 		
0x04A2	0x1507      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,156 :: 		
0x04A3	0x20C9      	CALL       _Delay_1us
;__Lib_Lcd.c,157 :: 		
0x04A4	0x1107      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,159 :: 		
0x04A5	0x1587      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,160 :: 		
0x04A6	0x1507      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,161 :: 		
0x04A7	0x20C9      	CALL       _Delay_1us
;__Lib_Lcd.c,162 :: 		
0x04A8	0x1107      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,163 :: 		
0x04A9	0x20D3      	CALL       _Delay_5500us
;__Lib_Lcd.c,166 :: 		
0x04AA	0x1187      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,167 :: 		
0x04AB	0x1507      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,168 :: 		
0x04AC	0x20C9      	CALL       _Delay_1us
;__Lib_Lcd.c,169 :: 		
0x04AD	0x1107      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,171 :: 		
0x04AE	0x1707      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,172 :: 		
0x04AF	0x1687      	BSF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,173 :: 		
0x04B0	0x1607      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,174 :: 		
0x04B1	0x1587      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,175 :: 		
0x04B2	0x1507      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,176 :: 		
0x04B3	0x20C9      	CALL       _Delay_1us
;__Lib_Lcd.c,177 :: 		
0x04B4	0x1107      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,179 :: 		
0x04B5	0x20D3      	CALL       _Delay_5500us
;__Lib_Lcd.c,181 :: 		
0x04B6	0x1465      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,182 :: 		
L_end_Lcd_Init:
0x04B7	0x0008      	RETURN
; end of _Lcd_Init
_main:
0x04B8	0x26DC      	CALL       1756
;TheProject.c,106 :: 		void main() {
;TheProject.c,107 :: 		INTCON = 0b10101000;
0x04B9	0x30A8      	MOVLW      168
0x04BA	0x008B      	MOVWF      INTCON
;TheProject.c,109 :: 		option_reg= 0b10000111;
0x04BB	0x3087      	MOVLW      135
0x04BC	0x1683      	BSF        STATUS, 5
0x04BD	0x1303      	BCF        STATUS, 6
0x04BE	0x0081      	MOVWF      OPTION_REG
;TheProject.c,112 :: 		trisb= 0b11111111;
0x04BF	0x30FF      	MOVLW      255
0x04C0	0x0086      	MOVWF      TRISB
;TheProject.c,113 :: 		trisd = 0b00000000;
0x04C1	0x0188      	CLRF       TRISD
;TheProject.c,114 :: 		trisc.b7 =0;
0x04C2	0x1387      	BCF        TRISC, 7
;TheProject.c,115 :: 		trisc.b0=0;
0x04C3	0x1007      	BCF        TRISC, 0
;TheProject.c,116 :: 		portc.b0=0;
0x04C4	0x1283      	BCF        STATUS, 5
0x04C5	0x1007      	BCF        PORTC, 0
;TheProject.c,117 :: 		portd.b7=1;
0x04C6	0x1788      	BSF        PORTD, 7
;TheProject.c,118 :: 		portc.b7= 1;
0x04C7	0x1787      	BSF        PORTC, 7
;TheProject.c,119 :: 		trisa.b0=1;
0x04C8	0x1683      	BSF        STATUS, 5
0x04C9	0x1405      	BSF        TRISA, 0
;TheProject.c,120 :: 		Lcd_Init();
0x04CA	0x246A      	CALL       _Lcd_Init
;TheProject.c,122 :: 		lcd_out(1,1,"Calculating");
0x04CB	0x3001      	MOVLW      1
0x04CC	0x00E7      	MOVWF      FARG_Lcd_Out_row
0x04CD	0x3001      	MOVLW      1
0x04CE	0x00E8      	MOVWF      FARG_Lcd_Out_column
0x04CF	0x302E      	MOVLW      ?lstr2_TheProject
0x04D0	0x00E9      	MOVWF      FARG_Lcd_Out_text
0x04D1	0x21D1      	CALL       _Lcd_Out
;TheProject.c,123 :: 		lcd_out(2,1,"Moisture...");
0x04D2	0x3002      	MOVLW      2
0x04D3	0x00E7      	MOVWF      FARG_Lcd_Out_row
0x04D4	0x3001      	MOVLW      1
0x04D5	0x00E8      	MOVWF      FARG_Lcd_Out_column
0x04D6	0x303A      	MOVLW      ?lstr3_TheProject
0x04D7	0x00E9      	MOVWF      FARG_Lcd_Out_text
0x04D8	0x21D1      	CALL       _Lcd_Out
;TheProject.c,124 :: 		delay_ms(1000);
0x04D9	0x300B      	MOVLW      11
0x04DA	0x00FB      	MOVWF      R11
0x04DB	0x3026      	MOVLW      38
0x04DC	0x00FC      	MOVWF      R12
0x04DD	0x305D      	MOVLW      93
0x04DE	0x00FD      	MOVWF      R13
L_main15:
0x04DF	0x0BFD      	DECFSZ     R13, 1
0x04E0	0x2CDF      	GOTO       L_main15
0x04E1	0x0BFC      	DECFSZ     R12, 1
0x04E2	0x2CDF      	GOTO       L_main15
0x04E3	0x0BFB      	DECFSZ     R11, 1
0x04E4	0x2CDF      	GOTO       L_main15
0x04E5	0x0000      	NOP
0x04E6	0x0000      	NOP
;TheProject.c,125 :: 		lcd_cmd(_LCD_CLEAR);
0x04E7	0x3001      	MOVLW      1
0x04E8	0x00EC      	MOVWF      FARG_Lcd_Cmd_out_char
0x04E9	0x20F7      	CALL       _Lcd_Cmd
;TheProject.c,126 :: 		lcd_out(1,5,"Moisture:");
0x04EA	0x3001      	MOVLW      1
0x04EB	0x00E7      	MOVWF      FARG_Lcd_Out_row
0x04EC	0x3005      	MOVLW      5
0x04ED	0x00E8      	MOVWF      FARG_Lcd_Out_column
0x04EE	0x3046      	MOVLW      ?lstr4_TheProject
0x04EF	0x00E9      	MOVWF      FARG_Lcd_Out_text
0x04F0	0x21D1      	CALL       _Lcd_Out
;TheProject.c,128 :: 		while(1)
L_main16:
;TheProject.c,130 :: 		if(cset==0)
0x04F1	0x3000      	MOVLW      0
0x04F2	0x0656      	XORWF      _cset+1, 0
0x04F3	0x1D03      	BTFSS      STATUS, 2
0x04F4	0x2CF7      	GOTO       L__main56
0x04F5	0x3000      	MOVLW      0
0x04F6	0x0655      	XORWF      _cset, 0
L__main56:
0x04F7	0x1D03      	BTFSS      STATUS, 2
0x04F8	0x2E2A      	GOTO       L_main18
;TheProject.c,132 :: 		cset=1;
0x04F9	0x3001      	MOVLW      1
0x04FA	0x00D5      	MOVWF      _cset
0x04FB	0x3000      	MOVLW      0
0x04FC	0x00D6      	MOVWF      _cset+1
;TheProject.c,134 :: 		SetMoistR= SetMoist % 10;
0x04FD	0x300A      	MOVLW      10
0x04FE	0x00F4      	MOVWF      R4
0x04FF	0x3000      	MOVLW      0
0x0500	0x00F5      	MOVWF      R4+1
0x0501	0x0853      	MOVF       _SetMoist, 0
0x0502	0x00F0      	MOVWF      R0
0x0503	0x0854      	MOVF       _SetMoist+1, 0
0x0504	0x00F1      	MOVWF      R0+1
0x0505	0x2401      	CALL       _Div_16x16_S
0x0506	0x0878      	MOVF       R8, 0
0x0507	0x00F0      	MOVWF      R0
0x0508	0x0879      	MOVF       R8+1, 0
0x0509	0x00F1      	MOVWF      R0+1
0x050A	0x0870      	MOVF       R0, 0
0x050B	0x00D7      	MOVWF      _SetMoistR
0x050C	0x0871      	MOVF       R0+1, 0
0x050D	0x00D8      	MOVWF      _SetMoistR+1
;TheProject.c,135 :: 		switch (SetMoistR) {
0x050E	0x2D41      	GOTO       L_main19
;TheProject.c,136 :: 		case 0: SetMoistR=0x3F; break;
L_main21:
0x050F	0x303F      	MOVLW      63
0x0510	0x00D7      	MOVWF      _SetMoistR
0x0511	0x3000      	MOVLW      0
0x0512	0x00D8      	MOVWF      _SetMoistR+1
0x0513	0x2D91      	GOTO       L_main20
;TheProject.c,137 :: 		case 1: SetMoistR=0x06; break;
L_main22:
0x0514	0x3006      	MOVLW      6
0x0515	0x00D7      	MOVWF      _SetMoistR
0x0516	0x3000      	MOVLW      0
0x0517	0x00D8      	MOVWF      _SetMoistR+1
0x0518	0x2D91      	GOTO       L_main20
;TheProject.c,138 :: 		case 2: SetMoistR=0x5B; break;
L_main23:
0x0519	0x305B      	MOVLW      91
0x051A	0x00D7      	MOVWF      _SetMoistR
0x051B	0x3000      	MOVLW      0
0x051C	0x00D8      	MOVWF      _SetMoistR+1
0x051D	0x2D91      	GOTO       L_main20
;TheProject.c,139 :: 		case 3: SetmoistR=0x4F; break;
L_main24:
0x051E	0x304F      	MOVLW      79
0x051F	0x00D7      	MOVWF      _SetMoistR
0x0520	0x3000      	MOVLW      0
0x0521	0x00D8      	MOVWF      _SetMoistR+1
0x0522	0x2D91      	GOTO       L_main20
;TheProject.c,140 :: 		case 4: SetmoistR=0x66; break;
L_main25:
0x0523	0x3066      	MOVLW      102
0x0524	0x00D7      	MOVWF      _SetMoistR
0x0525	0x3000      	MOVLW      0
0x0526	0x00D8      	MOVWF      _SetMoistR+1
0x0527	0x2D91      	GOTO       L_main20
;TheProject.c,141 :: 		case 5: SetmoistR=0x6D; break;
L_main26:
0x0528	0x306D      	MOVLW      109
0x0529	0x00D7      	MOVWF      _SetMoistR
0x052A	0x3000      	MOVLW      0
0x052B	0x00D8      	MOVWF      _SetMoistR+1
0x052C	0x2D91      	GOTO       L_main20
;TheProject.c,142 :: 		case 6: SetmoistR=0x7D; break;
L_main27:
0x052D	0x307D      	MOVLW      125
0x052E	0x00D7      	MOVWF      _SetMoistR
0x052F	0x3000      	MOVLW      0
0x0530	0x00D8      	MOVWF      _SetMoistR+1
0x0531	0x2D91      	GOTO       L_main20
;TheProject.c,143 :: 		case 7: SetmoistR=0x07; break;
L_main28:
0x0532	0x3007      	MOVLW      7
0x0533	0x00D7      	MOVWF      _SetMoistR
0x0534	0x3000      	MOVLW      0
0x0535	0x00D8      	MOVWF      _SetMoistR+1
0x0536	0x2D91      	GOTO       L_main20
;TheProject.c,144 :: 		case 8: SetmoistR=0x7F; break;
L_main29:
0x0537	0x307F      	MOVLW      127
0x0538	0x00D7      	MOVWF      _SetMoistR
0x0539	0x3000      	MOVLW      0
0x053A	0x00D8      	MOVWF      _SetMoistR+1
0x053B	0x2D91      	GOTO       L_main20
;TheProject.c,145 :: 		case 9: SetmoistR=0x6F; break;
L_main30:
0x053C	0x306F      	MOVLW      111
0x053D	0x00D7      	MOVWF      _SetMoistR
0x053E	0x3000      	MOVLW      0
0x053F	0x00D8      	MOVWF      _SetMoistR+1
0x0540	0x2D91      	GOTO       L_main20
;TheProject.c,146 :: 		}
L_main19:
0x0541	0x3000      	MOVLW      0
0x0542	0x0658      	XORWF      _SetMoistR+1, 0
0x0543	0x1D03      	BTFSS      STATUS, 2
0x0544	0x2D47      	GOTO       L__main57
0x0545	0x3000      	MOVLW      0
0x0546	0x0657      	XORWF      _SetMoistR, 0
L__main57:
0x0547	0x1903      	BTFSC      STATUS, 2
0x0548	0x2D0F      	GOTO       L_main21
0x0549	0x3000      	MOVLW      0
0x054A	0x0658      	XORWF      _SetMoistR+1, 0
0x054B	0x1D03      	BTFSS      STATUS, 2
0x054C	0x2D4F      	GOTO       L__main58
0x054D	0x3001      	MOVLW      1
